Category;Value
Year;2023-2024
Year;2024-2025
Area;Left Corner
Area;Left Wing
Area;Top
Area;Right Wing
Area;Right Corner
Player Direction;Left
Player Direction;Right
Player Direction;Spot Up
Player Direction;To Hoop
Player Direction;Away From Hoop
Player Direction;Stationary
Pass Direction;Left
Pass Direction;Right
Pass Direction;From Hoop
Pass Direction;N/A Off Dribble
Off Dribble Hand;Left
Off Dribble Hand;Right
Off Dribble Hand;Left to RightPickUp
Off Dribble Hand;Right to LeftPickup
Off Dribble Hand;N/A
Offensive Action;Reversal
Offensive Action;Post Kick Out
Offensive Action;Drive Kick
Offensive Action;PnR
Offensive Action;Off The Dribble
Offensive Action;Flare
Offensive Action;DHO
Offensive Action;Lift
Offensive Action;Pin Down
Offensive Action;Iso
Offensive Action;Spot Up
Offensive Action;Hammer
Offensive Action;PnPop
Hop/1-2;Hop  
Hop/1-2;1-2 Right/Left
Hop/1-2;1-2 Left/Right
Make/Miss;Make
Make/Miss;Miss
Defender Distance;Tight
Defender Distance;Close
Defender Distance;Open
Defender Distance;Wide Open
