Player;Number;Image;Position;
Gary Payton II;0;https://cdn.nba.com/headshots/nba/latest/1040x760/1627780.png;Guard;
Jonathan Kuminga;00;https://cdn.nba.com/headshots/nba/latest/1040x760/1630228.png;Forward;
Taran Armstrong;1;https://cdn.nba.com/headshots/nba/latest/1040x760/1642379.png;Guard;
Brandon Podziemski;2;https://cdn.nba.com/headshots/nba/latest/1040x760/1641764.png;Guard;
Moses Moody;4;https://cdn.nba.com/headshots/nba/latest/1040x760/1630541.png;Guard;
Kevin Looney;5;https://cdn.nba.com/headshots/nba/latest/1040x760/1626172.png;Forward;
Buddy Hield;7;https://cdn.nba.com/headshots/nba/latest/1040x760/1627741.png;Guard;
Jimmy Butler III;10;https://cdn.nba.com/headshots/nba/latest/1040x760/202710.png;Forward;
Braxton Key;12;https://cdn.nba.com/headshots/nba/latest/1040x760/1630296.png;Forward;
Gui Santos;15;https://cdn.nba.com/headshots/nba/latest/1040x760/1630611.png;Forward;
Quinten Post;21;https://cdn.nba.com/headshots/nba/latest/1040x760/1642366.png;Center;
Draymond Green;23;https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png;Forward;
Stephen Curry;30;https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png;Guard;
Kevin Knox II;31;https://cdn.nba.com/headshots/nba/latest/1040x760/1628995.png;Forward;
Trayce Jackson-Davis;32;https://cdn.nba.com/headshots/nba/latest/1040x760/1631218.png;Forward;
Jackson Rowe;44;https://cdn.nba.com/headshots/nba/latest/1040x760/1642050.png;Forward;
Pat Spencer;61;https://cdn.nba.com/headshots/nba/latest/1040x760/1630311.png;Guard;
